gene_id	transcript_id(s)	AtlanticSalmon_RNA_Brain_Immature_Female_R1	AtlanticSalmon_RNA_Brain_Immature_Female_R2	AtlanticSalmon_RNA_Brain_Immature_Female_R3	AtlanticSalmon_RNA_Brain_Immature_Male_R1	AtlanticSalmon_RNA_Brain_Immature_Male_R2	AtlanticSalmon_RNA_Brain_Immature_Male_R3	AtlanticSalmon_RNA_Brain_Mature_Female_R1	AtlanticSalmon_RNA_Brain_Mature_Female_R2	AtlanticSalmon_RNA_Brain_Mature_Female_R3	AtlanticSalmon_RNA_Brain_Mature_Male_R1	AtlanticSalmon_RNA_Brain_Mature_Male_R2	AtlanticSalmon_RNA_Brain_Mature_Male_R3
ENSSSAG00000103784	ENSSSAT00000019088,ENSSSAT00000159658	43.86	23.09	80.19	98.73	23.37	100.70	35.56	149.02	124.98	149.35	21.39	173.75
ENSSSAG00000103785	ENSSSAT00000177942	5.13	2.85	4.58	2.88	2.35	4.95	2.06	3.37	3.87	2.97	3.80	4.15
ENSSSAG00000103786	ENSSSAT00000224364	1.51	2.67	1.97	27.98	8.74	0.80	41.27	0.41	0.43	0.38	1.58	0.63
ENSSSAG00000103787	ENSSSAT00000194867,ENSSSAT00000205333,ENSSSAT00000224978,ENSSSAT00000242121,ENSSSAT00000247341	23.53	26.43	27.12	18.21	28.48	21.28	0.79	35.03	34.62	36.35	23.27	29.88
ENSSSAG00000103788	ENSSSAT00000191365,ENSSSAT00000215373	0.44	0.54	0.04	0.38	1.28	0.19	0.14	0.04	0.13	0.10	0.07	0.05
ENSSSAG00000103789	ENSSSAT00000161869	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103790	ENSSSAT00000233694	0.29	0.00	0.00	0.29	0.00	1.72	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103791	ENSSSAT00000212860	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103792	ENSSSAT00000252673	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103793	ENSSSAT00000246413	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103794	ENSSSAT00000177428,ENSSSAT00000198107,ENSSSAT00000203059,ENSSSAT00000231051,ENSSSAT00000239793	27.69	16.41	29.82	3.93	4.45	19.09	1.10	6.79	6.21	6.56	46.81	6.34
ENSSSAG00000103795	ENSSSAT00000161979	23.55	91.79	11.43	1.81	134.68	9.04	0.88	0.32	0.00	0.00	25.80	0.12
ENSSSAG00000103796	ENSSSAT00000178117	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.37	0.00	0.00	0.00
ENSSSAG00000103797	ENSSSAT00000192184,ENSSSAT00000249268	1.28	1.36	0.46	0.27	0.73	0.45	0.29	0.84	0.51	0.46	0.94	0.83
ENSSSAG00000103798	ENSSSAT00000165498,ENSSSAT00000180780,ENSSSAT00000203208	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103799	ENSSSAT00000220400	12.85	14.44	10.71	6.00	12.91	7.91	1.01	3.96	9.32	8.20	3.96	11.52
ENSSSAG00000103800	ENSSSAT00000187988	1.24	2.93	1.48	2.88	1.53	1.69	3.74	1.14	0.81	0.88	1.52	1.23
ENSSSAG00000103801	ENSSSAT00000172727,ENSSSAT00000176543,ENSSSAT00000211493	11.11	11.06	14.23	12.79	15.37	14.31	5.45	18.45	15.54	13.45	13.38	15.95
ENSSSAG00000103802	ENSSSAT00000174618,ENSSSAT00000212079,ENSSSAT00000214215	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103803	ENSSSAT00000203872	12.75	8.63	7.08	1.35	1.51	5.80	0.79	2.63	3.39	2.35	9.64	3.83
ENSSSAG00000103804	ENSSSAT00000234647	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103805	ENSSSAT00000221376	0.62	0.00	0.00	0.41	0.00	0.00	0.47	0.00	0.00	0.00	0.24	0.29
ENSSSAG00000103806	ENSSSAT00000181126	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103807	ENSSSAT00000161557	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103808	ENSSSAT00000204053	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103809	ENSSSAT00000188211	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103810	ENSSSAT00000198139	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103811	ENSSSAT00000157543,ENSSSAT00000205680	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103812	ENSSSAT00000203623	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103813	ENSSSAT00000174555	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103814	ENSSSAT00000159572	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103815	ENSSSAT00000251864	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103816	ENSSSAT00000166212	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103817	ENSSSAT00000179081,ENSSSAT00000241534	0.00	0.00	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103818	ENSSSAT00000237800	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103819	ENSSSAT00000169252	11.17	8.61	6.69	5.10	7.12	9.76	3.90	6.69	6.70	7.68	10.86	4.01
ENSSSAG00000103820	ENSSSAT00000193606	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103821	ENSSSAT00000238758,ENSSSAT00000247072	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103822	ENSSSAT00000251953	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000103823	ENSSSAT00000233631	0.20	0.54	0.00	0.84	0.34	0.67	1.22	0.18	1.07	0.97	1.21	0.00
