gene_id	transcript_id(s)	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R3
ENSSSAG00000108026	ENSSSAT00000180614,ENSSSAT00000243907	0.11	0.18	0.16	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000108027	ENSSSAT00000021766,ENSSSAT00000021782,ENSSSAT00000197267,ENSSSAT00000244860	5.06	6.34	2.78	2.85	4.76	5.61	7.13	6.00	7.90	8.01	2.93	6.16
ENSSSAG00000108028	ENSSSAT00000217998	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
ENSSSAG00000108029	ENSSSAT00000078487,ENSSSAT00000078607	13.78	16.61	13.74	14.46	13.77	10.29	15.78	13.12	14.87	12.62	12.34	13.74
ENSSSAG00000108030	ENSSSAT00000185955,ENSSSAT00000222075	4.25	2.65	2.55	2.49	4.21	3.57	1.77	1.79	2.57	5.32	2.17	2.37
ENSSSAG00000108031	ENSSSAT00000161625,ENSSSAT00000170175,ENSSSAT00000222652,ENSSSAT00000240905,ENSSSAT00000247554	0.00	0.46	0.00	0.38	0.49	0.63	0.52	0.91	0.52	0.26	0.00	0.00
ENSSSAG00000108032	ENSSSAT00000167731,ENSSSAT00000172478,ENSSSAT00000198487,ENSSSAT00000200417,ENSSSAT00000215885	0.25	0.06	0.13	0.06	0.07	0.20	0.04	0.02	0.10	0.08	0.15	0.12
ENSSSAG00000108033	ENSSSAT00000166163,ENSSSAT00000174452,ENSSSAT00000199997,ENSSSAT00000210704,ENSSSAT00000211358,ENSSSAT00000216492	0.01	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.02	0.00	0.00
ENSSSAG00000108034	ENSSSAT00000172024,ENSSSAT00000188805	3.11	3.50	1.54	1.12	2.96	2.20	2.35	2.10	3.16	2.02	1.52	2.33
ENSSSAG00000108035	ENSSSAT00000220415,ENSSSAT00000220624	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000108036	ENSSSAT00000196770	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
