gene_id	transcript_id(s)	RainbowTrout_RNA_Gonad_Immature_Female_R1	RainbowTrout_RNA_Gonad_Immature_Female_R2	RainbowTrout_RNA_Gonad_Immature_Female_R3	RainbowTrout_RNA_Gonad_Immature_Male_R1	RainbowTrout_RNA_Gonad_Immature_Male_R2	RainbowTrout_RNA_Gonad_Immature_Male_R3	RainbowTrout_RNA_Gonad_Immature_Male_R4	RainbowTrout_RNA_Gonad_Immature_Male_R5	RainbowTrout_RNA_Gonad_Immature_Male_R6	RainbowTrout_RNA_Gonad_Mature_Female_R1	RainbowTrout_RNA_Gonad_Mature_Female_R2	RainbowTrout_RNA_Gonad_Mature_Female_R3	RainbowTrout_RNA_Gonad_Mature_Male_R1	RainbowTrout_RNA_Gonad_Mature_Male_R2	RainbowTrout_RNA_Gonad_Mature_Male_R3	RainbowTrout_RNA_Gonad_Mature_Male_R4	RainbowTrout_RNA_Gonad_Mature_Male_R5	RainbowTrout_RNA_Gonad_Mature_Male_R6
ENSOMYG00000005341	ENSOMYT00000011895,ENSOMYT00000011924,ENSOMYT00000011947	1.98	7.70	5.08	7.17	14.09	8.15	1.69	6.34	3.82	2.18	1.23	4.18	3.73	3.68	5.02	4.72	2.84	3.96
ENSOMYG00000005342	ENSOMYT00000011723	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00
ENSOMYG00000005343	ENSOMYT00000011736	6.88	6.56	10.48	8.46	9.30	4.97	9.04	7.70	10.19	7.69	10.53	6.64	10.61	21.07	9.62	8.88	16.64	14.46
ENSOMYG00000005344	ENSOMYT00000012195	0.00	0.00	0.00	3.54	11.42	10.12	0.08	2.17	1.87	0.00	0.00	0.03	1.16	1.42	2.09	2.51	2.54	2.88
ENSOMYG00000005345	ENSOMYT00000011729	0.37	0.53	0.88	0.00	0.00	0.05	0.22	0.14	0.07	0.74	0.48	0.30	0.10	0.19	0.24	0.12	0.07	0.04
ENSOMYG00000005346	ENSOMYT00000011740	0.00	0.00	0.00	2.38	1.49	0.00	0.00	0.00	0.00	0.00	0.00	1.68	0.00	0.00	0.00	7.27	0.00	0.00
ENSOMYG00000005347	ENSOMYT00000011732,ENSOMYT00000011742	1.25	0.69	1.24	12.33	18.36	12.64	12.13	11.57	13.10	1.78	1.17	2.22	18.97	18.66	19.21	19.89	29.05	28.72
ENSOMYG00000005348	ENSOMYT00000011733,ENSOMYT00000123980	0.07	0.40	0.00	0.93	0.39	0.00	0.84	1.13	0.29	1.33	0.50	0.54	0.17	0.00	0.00	0.21	0.06	0.19
ENSOMYG00000005349	ENSOMYT00000011741,ENSOMYT00000011751	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18
ENSOMYG00000005350	ENSOMYT00000011738	0.13	0.31	0.39	2.75	1.62	1.78	13.15	1.18	0.76	0.22	0.10	0.35	0.34	0.31	1.01	0.58	0.25	0.62
