gene_id	transcript_id(s)	RainbowTrout_RNA_HeadKidney_Immature_Female_R1	RainbowTrout_RNA_HeadKidney_Immature_Female_R2	RainbowTrout_RNA_HeadKidney_Immature_Female_R3	RainbowTrout_RNA_HeadKidney_Immature_Male_R1	RainbowTrout_RNA_HeadKidney_Immature_Male_R2	RainbowTrout_RNA_HeadKidney_Immature_Male_R3	RainbowTrout_RNA_HeadKidney_Mature_Female_R1	RainbowTrout_RNA_HeadKidney_Mature_Female_R2	RainbowTrout_RNA_HeadKidney_Mature_Female_R3	RainbowTrout_RNA_HeadKidney_Mature_Male_R1	RainbowTrout_RNA_HeadKidney_Mature_Male_R2	RainbowTrout_RNA_HeadKidney_Mature_Male_R3
ENSOMYG00000042446	ENSOMYT00000100693,ENSOMYT00000100714,ENSOMYT00000100718	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042447	ENSOMYT00000105236,ENSOMYT00000105324,ENSOMYT00000105354,ENSOMYT00000105374,ENSOMYT00000105380,ENSOMYT00000105441,ENSOMYT00000105442,ENSOMYT00000105444,ENSOMYT00000105463,ENSOMYT00000105488	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042448	ENSOMYT00000100672	10.83	9.52	10.40	7.19	14.61	7.18	8.18	5.93	8.05	6.78	7.09	10.09
ENSOMYG00000042449	ENSOMYT00000100673	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042452	ENSOMYT00000100692,ENSOMYT00000100696	0.21	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00
ENSOMYG00000042453	ENSOMYT00000100687,ENSOMYT00000100689,ENSOMYT00000100698,ENSOMYT00000100703,ENSOMYT00000100715,ENSOMYT00000164740	58.84	49.69	45.09	46.14	32.63	46.22	50.58	51.52	46.60	33.60	43.49	37.36
ENSOMYG00000042455	ENSOMYT00000104860,ENSOMYT00000104874,ENSOMYT00000105065,ENSOMYT00000105180,ENSOMYT00000105268,ENSOMYT00000105305,ENSOMYT00000105323,ENSOMYT00000105422,ENSOMYT00000105424	8.04	6.23	5.31	5.10	3.96	4.68	4.66	3.23	6.49	2.90	3.46	5.74
ENSOMYG00000042456	ENSOMYT00000100682	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042457	ENSOMYT00000100721,ENSOMYT00000100727,ENSOMYT00000100737	15.00	13.38	14.31	11.60	5.06	15.32	9.73	7.20	9.13	6.17	8.62	5.76
ENSOMYG00000042459	ENSOMYT00000100701,ENSOMYT00000100705	29.61	29.76	33.73	22.40	24.16	27.53	45.43	46.91	45.90	23.29	37.55	31.80
ENSOMYG00000042460	ENSOMYT00000100691,ENSOMYT00000100700,ENSOMYT00000150473,ENSOMYT00000162285	1.44	1.21	1.15	0.41	1.01	0.66	0.49	0.62	0.81	0.56	0.52	0.56
ENSOMYG00000042461	ENSOMYT00000100704	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042464	ENSOMYT00000100717	0.39	0.60	1.75	0.92	0.71	0.58	0.38	0.92	0.54	0.16	0.47	0.05
ENSOMYG00000042465	ENSOMYT00000100716	7.80	8.11	10.44	8.68	9.24	8.57	10.78	10.70	9.65	5.27	10.39	13.08
ENSOMYG00000042466	ENSOMYT00000101955,ENSOMYT00000101962,ENSOMYT00000101973,ENSOMYT00000102002,ENSOMYT00000102009,ENSOMYT00000102092,ENSOMYT00000102157	1.88	1.89	0.44	0.00	0.88	0.86	0.91	0.68	0.18	0.19	0.07	0.09
ENSOMYG00000042468	ENSOMYT00000100731	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042469	ENSOMYT00000100726	4.23	3.10	3.77	3.28	1.61	3.44	4.07	3.26	3.69	2.48	3.84	4.14
ENSOMYG00000042470	ENSOMYT00000100729,ENSOMYT00000147872	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042471	ENSOMYT00000100773	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65
ENSOMYG00000042472	ENSOMYT00000100733,ENSOMYT00000100739	25.97	29.79	23.40	20.04	17.10	22.71	18.72	13.59	20.31	11.90	18.98	20.63
ENSOMYG00000042474	ENSOMYT00000100736	5.59	4.62	4.13	3.05	3.34	4.14	2.63	2.93	3.16	1.57	2.38	2.16
ENSOMYG00000042475	ENSOMYT00000101318,ENSOMYT00000101443,ENSOMYT00000101463,ENSOMYT00000101489,ENSOMYT00000101494,ENSOMYT00000101520,ENSOMYT00000101539,ENSOMYT00000118125,ENSOMYT00000146295	2.51	1.55	1.21	1.22	0.48	0.53	0.65	0.21	0.11	0.16	0.23	0.59
ENSOMYG00000042476	ENSOMYT00000106525,ENSOMYT00000106644,ENSOMYT00000106647,ENSOMYT00000106655,ENSOMYT00000106657,ENSOMYT00000106662,ENSOMYT00000106785,ENSOMYT00000106787,ENSOMYT00000106796,ENSOMYT00000122175	0.51	0.44	0.69	0.44	0.25	0.26	0.12	0.21	0.39	0.07	0.09	0.07
ENSOMYG00000042477	ENSOMYT00000100755	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042478	ENSOMYT00000100761,ENSOMYT00000100767,ENSOMYT00000100775	17.89	19.45	16.38	15.67	14.30	15.16	17.09	18.19	20.31	16.59	21.89	17.31
ENSOMYG00000042479	ENSOMYT00000101314	20.05	21.84	20.69	17.74	19.20	20.10	24.03	18.02	22.30	15.01	20.39	10.16
ENSOMYG00000042480	ENSOMYT00000100780,ENSOMYT00000100781,ENSOMYT00000100790,ENSOMYT00000132604,ENSOMYT00000141612,ENSOMYT00000145113	8.08	10.96	8.60	6.97	7.21	5.98	6.63	5.37	6.55	3.40	5.10	10.03
ENSOMYG00000042482	ENSOMYT00000100809,ENSOMYT00000100815,ENSOMYT00000100818,ENSOMYT00000100820	57.42	77.00	60.65	56.43	67.95	59.58	43.88	62.51	57.30	58.36	51.44	62.83
ENSOMYG00000042483	ENSOMYT00000100798	1.00	0.64	0.93	0.54	0.37	0.40	0.43	1.11	1.73	0.32	0.16	0.91
ENSOMYG00000042484	ENSOMYT00000100766	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042486	ENSOMYT00000100770	7.60	5.97	2.85	5.75	4.09	3.47	3.17	2.18	2.89	2.98	2.35	3.44
ENSOMYG00000042487	ENSOMYT00000100776	0.24	0.08	0.00	0.07	0.15	0.00	0.14	0.00	0.13	0.00	0.07	0.08
ENSOMYG00000042488	ENSOMYT00000100782	81.80	64.45	67.05	77.52	49.82	74.60	71.24	78.12	65.99	52.73	77.68	78.65
ENSOMYG00000042489	ENSOMYT00000100791	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042490	ENSOMYT00000100788,ENSOMYT00000143013	1.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042491	ENSOMYT00000100787,ENSOMYT00000100789,ENSOMYT00000100793	11.08	9.91	7.97	11.26	7.35	14.50	13.17	17.50	15.30	10.27	13.87	11.53
ENSOMYG00000042492	ENSOMYT00000101117,ENSOMYT00000101119,ENSOMYT00000101206,ENSOMYT00000101213,ENSOMYT00000101222,ENSOMYT00000101253,ENSOMYT00000101281,ENSOMYT00000101321,ENSOMYT00000130632,ENSOMYT00000166276	4.08	6.03	4.68	3.44	2.63	4.09	2.54	1.71	2.53	1.25	1.68	1.94
ENSOMYG00000042493	ENSOMYT00000100796	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042494	ENSOMYT00000100799	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042495	ENSOMYT00000101891,ENSOMYT00000101899,ENSOMYT00000101931,ENSOMYT00000101945,ENSOMYT00000101971,ENSOMYT00000102008,ENSOMYT00000102012,ENSOMYT00000102068,ENSOMYT00000118156,ENSOMYT00000139304	36.84	29.16	30.93	21.37	22.54	31.90	23.15	26.97	21.01	20.49	26.38	30.32
ENSOMYG00000042496	ENSOMYT00000100830,ENSOMYT00000100832,ENSOMYT00000119909	11.63	21.58	9.56	8.74	3.37	5.54	6.52	11.32	0.34	6.08	2.10	2.46
ENSOMYG00000042497	ENSOMYT00000100807	0.00	0.08	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042498	ENSOMYT00000100817	7.90	4.23	4.97	4.23	4.42	6.03	4.95	5.02	4.00	3.85	4.58	4.62
ENSOMYG00000042499	ENSOMYT00000100811,ENSOMYT00000144251	0.00	0.11	0.10	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.32
ENSOMYG00000042500	ENSOMYT00000100819,ENSOMYT00000100833,ENSOMYT00000100836	9.56	9.66	13.58	11.33	7.13	9.91	10.56	11.35	13.04	6.40	8.82	8.44
ENSOMYG00000042501	ENSOMYT00000100837,ENSOMYT00000100847,ENSOMYT00000100941,ENSOMYT00000100951,ENSOMYT00000100960,ENSOMYT00000100968,ENSOMYT00000100980	6.41	3.68	4.29	3.62	4.12	3.37	3.53	3.13	4.07	3.16	4.22	5.27
ENSOMYG00000042502	ENSOMYT00000100828,ENSOMYT00000100839	108.14	79.11	72.20	46.81	62.19	75.66	67.44	59.03	64.39	54.37	61.39	92.97
ENSOMYG00000042503	ENSOMYT00000100822	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.30	0.00
ENSOMYG00000042504	ENSOMYT00000101043,ENSOMYT00000101053,ENSOMYT00000101108,ENSOMYT00000101113,ENSOMYT00000101159,ENSOMYT00000101162,ENSOMYT00000101175,ENSOMYT00000101204,ENSOMYT00000136918,ENSOMYT00000148483	9.20	10.03	16.07	10.06	10.74	9.31	12.24	9.02	15.08	6.85	9.37	12.09
ENSOMYG00000042506	ENSOMYT00000101062,ENSOMYT00000101066,ENSOMYT00000101173,ENSOMYT00000101190,ENSOMYT00000101502	425.48	434.61	279.51	217.26	239.35	231.29	676.64	60.70	479.57	358.01	614.65	271.39
ENSOMYG00000042507	ENSOMYT00000100835,ENSOMYT00000100842	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042508	ENSOMYT00000100886	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042510	ENSOMYT00000100856,ENSOMYT00000100858,ENSOMYT00000119712,ENSOMYT00000142128,ENSOMYT00000146341,ENSOMYT00000152864,ENSOMYT00000163298,ENSOMYT00000167040	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00
ENSOMYG00000042511	ENSOMYT00000100899,ENSOMYT00000100906,ENSOMYT00000100909	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042512	ENSOMYT00000100840,ENSOMYT00000100845	0.31	0.00	0.00	0.10	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00
ENSOMYG00000042514	ENSOMYT00000100848	7.56	5.73	5.38	3.68	3.94	4.71	2.94	3.21	4.46	2.59	2.33	5.20
ENSOMYG00000042516	ENSOMYT00000047478,ENSOMYT00000100853,ENSOMYT00000119516	14.79	9.86	10.77	8.77	6.62	16.73	8.98	5.76	5.11	11.43	11.60	17.17
ENSOMYG00000042517	ENSOMYT00000100850	0.90	0.90	0.66	0.42	0.53	1.35	0.25	0.52	0.66	0.21	0.30	0.20
ENSOMYG00000042518	ENSOMYT00000100851	8.68	5.74	4.00	3.36	2.87	2.05	2.58	4.76	4.16	3.17	3.47	3.12
ENSOMYG00000042519	ENSOMYT00000100857	0.00	0.00	0.00	0.17	0.00	0.34	0.00	0.17	0.00	0.00	0.00	0.00
ENSOMYG00000042520	ENSOMYT00000100859	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042521	ENSOMYT00000100873,ENSOMYT00000100880,ENSOMYT00000117751,ENSOMYT00000122090,ENSOMYT00000134748,ENSOMYT00000136083,ENSOMYT00000140645,ENSOMYT00000146826,ENSOMYT00000154050	2.47	1.78	1.41	1.24	0.70	0.99	0.77	0.85	0.51	0.67	0.54	0.59
ENSOMYG00000042522	ENSOMYT00000100861	1.04	1.74	2.01	1.44	0.99	1.60	0.59	0.74	1.81	0.25	0.60	1.55
ENSOMYG00000042524	ENSOMYT00000100923,ENSOMYT00000100952,ENSOMYT00000100956,ENSOMYT00000100957,ENSOMYT00000100964,ENSOMYT00000145214	0.09	0.00	0.07	0.04	0.00	0.04	0.00	0.04	0.04	0.04	0.00	0.10
ENSOMYG00000042526	ENSOMYT00000100970,ENSOMYT00000100978,ENSOMYT00000100983,ENSOMYT00000101010	42.87	39.87	43.41	36.58	32.41	35.05	58.29	67.44	55.05	36.11	39.46	26.97
ENSOMYG00000042527	ENSOMYT00000100872	0.13	0.00	0.00	0.00	0.00	0.26	0.27	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042528	ENSOMYT00000100877,ENSOMYT00000100881	53.68	32.26	31.77	37.00	25.07	29.87	32.78	45.81	45.78	25.12	37.26	23.35
ENSOMYG00000042529	ENSOMYT00000100879,ENSOMYT00000100882	2.03	1.37	1.72	1.38	1.90	0.85	1.18	1.40	1.17	1.12	1.66	1.67
ENSOMYG00000042530	ENSOMYT00000100911,ENSOMYT00000100917,ENSOMYT00000129581	15.52	11.59	11.36	8.81	8.48	11.72	8.70	9.36	8.97	7.13	11.06	10.38
ENSOMYG00000042531	ENSOMYT00000100889	0.39	0.05	0.41	0.32	0.09	0.18	0.37	1.06	1.26	0.08	0.86	1.14
ENSOMYG00000042533	ENSOMYT00000100898	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042534	ENSOMYT00000103426,ENSOMYT00000103443,ENSOMYT00000103454,ENSOMYT00000103458,ENSOMYT00000103547,ENSOMYT00000103570,ENSOMYT00000159021	0.23	0.26	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042535	ENSOMYT00000100905,ENSOMYT00000100907,ENSOMYT00000100910	59.07	46.43	56.85	58.36	38.90	55.17	66.34	66.04	64.15	46.92	48.61	46.30
ENSOMYG00000042537	ENSOMYT00000100904	4.12	4.66	4.29	3.17	6.26	3.42	1.49	1.14	1.10	1.06	1.14	3.47
ENSOMYG00000042538	ENSOMYT00000100912,ENSOMYT00000101131,ENSOMYT00000101144,ENSOMYT00000101168,ENSOMYT00000101211,ENSOMYT00000101220,ENSOMYT00000101226,ENSOMYT00000101235	0.05	0.00	0.16	0.04	0.03	0.11	0.04	0.11	0.00	0.10	0.10	0.00
ENSOMYG00000042539	ENSOMYT00000102477,ENSOMYT00000102537,ENSOMYT00000102593	0.05	0.00	0.00	0.00	0.07	0.04	0.00	0.00	0.00	0.00	0.00	0.04
ENSOMYG00000042540	ENSOMYT00000100913	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00
ENSOMYG00000042541	ENSOMYT00000100918	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.07	0.00	0.00
ENSOMYG00000042542	ENSOMYT00000101017,ENSOMYT00000101025,ENSOMYT00000101036	6.77	8.43	4.46	4.99	4.72	5.03	2.90	2.41	3.28	2.39	1.77	5.07
ENSOMYG00000042543	ENSOMYT00000100930,ENSOMYT00000100933,ENSOMYT00000100936,ENSOMYT00000161588	0.07	0.00	0.00	0.03	0.02	0.12	0.03	0.10	0.07	0.02	0.03	0.18
ENSOMYG00000042544	ENSOMYT00000100921,ENSOMYT00000123643	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042545	ENSOMYT00000100948,ENSOMYT00000100953	0.14	0.57	0.75	7.38	0.46	4.87	0.00	0.00	0.47	0.00	0.00	0.23
ENSOMYG00000042546	ENSOMYT00000100924	0.11	0.17	0.08	0.04	0.03	0.00	0.00	0.00	0.02	0.00	0.00	0.00
ENSOMYG00000042547	ENSOMYT00000100974,ENSOMYT00000101015,ENSOMYT00000101034,ENSOMYT00000101055,ENSOMYT00000162442	1.09	0.42	0.49	0.20	0.14	0.47	0.20	0.08	0.15	0.03	0.04	0.30
ENSOMYG00000042548	ENSOMYT00000100943	3.21	2.96	1.66	1.29	1.88	2.00	0.95	0.82	1.23	1.04	0.79	2.57
ENSOMYG00000042549	ENSOMYT00000100950,ENSOMYT00000100958,ENSOMYT00000100972,ENSOMYT00000100977,ENSOMYT00000142271	4357.05	4196.56	5350.50	5042.85	4868.65	5271.50	5846.18	4299.14	5178.01	3675.81	5064.59	5370.65
ENSOMYG00000042552	ENSOMYT00000100963,ENSOMYT00000100969	0.46	0.18	0.24	0.25	0.10	0.53	0.10	0.05	0.15	0.27	0.96	0.24
ENSOMYG00000042556	ENSOMYT00000101091,ENSOMYT00000101109,ENSOMYT00000101156,ENSOMYT00000101214,ENSOMYT00000101221	10.02	9.15	8.93	6.09	7.03	8.08	6.78	5.86	7.82	6.96	7.22	8.27
ENSOMYG00000042557	ENSOMYT00000100966	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042560	ENSOMYT00000100984	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042561	ENSOMYT00000101014,ENSOMYT00000101022	8.12	7.60	8.23	8.14	6.72	9.00	11.00	12.25	13.13	6.81	9.99	8.96
ENSOMYG00000042562	ENSOMYT00000100987	3.24	3.58	2.15	1.66	2.35	2.34	1.58	0.41	1.19	0.87	0.85	2.78
ENSOMYG00000042563	ENSOMYT00000101551,ENSOMYT00000101576,ENSOMYT00000101716,ENSOMYT00000101910,ENSOMYT00000101938,ENSOMYT00000101956,ENSOMYT00000101964,ENSOMYT00000101998,ENSOMYT00000102005	11.00	9.69	8.80	7.51	6.83	8.14	7.81	6.62	8.25	5.22	5.43	7.43
ENSOMYG00000042565	ENSOMYT00000100990	0.29	0.20	0.04	0.13	0.03	0.07	0.30	0.06	0.03	0.00	0.14	0.16
ENSOMYG00000042566	ENSOMYT00000101236,ENSOMYT00000101414,ENSOMYT00000101416,ENSOMYT00000101422,ENSOMYT00000101429	10.85	9.59	8.78	12.66	13.27	10.77	9.68	5.28	8.55	7.82	7.48	8.15
ENSOMYG00000042567	ENSOMYT00000101019	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042569	ENSOMYT00000103803,ENSOMYT00000103824,ENSOMYT00000103848,ENSOMYT00000103879,ENSOMYT00000103929,ENSOMYT00000103953,ENSOMYT00000103978,ENSOMYT00000104005,ENSOMYT00000127473	8.52	5.46	6.04	5.00	3.44	3.38	1.44	0.93	2.04	0.52	0.68	3.21
ENSOMYG00000042570	ENSOMYT00000100995	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042572	ENSOMYT00000101007	32.73	31.78	48.13	54.17	31.47	48.04	68.66	64.41	75.94	37.23	43.13	36.24
ENSOMYG00000042573	ENSOMYT00000101013	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042574	ENSOMYT00000101020,ENSOMYT00000101045,ENSOMYT00000101081,ENSOMYT00000101097	0.58	0.05	0.00	0.08	0.10	0.38	0.04	0.00	0.00	0.00	0.00	0.05
ENSOMYG00000042575	ENSOMYT00000101042,ENSOMYT00000101052,ENSOMYT00000101059,ENSOMYT00000101068	121.93	81.77	64.43	56.86	53.63	61.51	59.18	49.62	62.41	58.62	59.44	69.82
ENSOMYG00000042576	ENSOMYT00000101021	0.07	0.00	0.08	0.02	0.07	0.05	0.05	0.16	0.07	0.00	0.00	0.03
ENSOMYG00000042577	ENSOMYT00000101024	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042578	ENSOMYT00000101033	10935.83	10894.60	9761.27	8712.32	6332.95	8470.25	15541.32	19825.65	12149.62	17454.33	9346.51	5166.20
ENSOMYG00000042579	ENSOMYT00000101031,ENSOMYT00000142517	6.35	4.00	5.99	4.46	4.35	4.07	3.70	4.21	4.22	3.60	4.08	5.54
ENSOMYG00000042581	ENSOMYT00000101029,ENSOMYT00000104333	7.09	5.91	5.11	5.12	2.87	5.56	3.00	3.06	2.70	1.54	2.84	2.47
ENSOMYG00000042582	ENSOMYT00000101030	23.59	19.52	32.20	21.18	24.68	34.05	23.43	7.82	11.65	32.11	58.43	72.62
ENSOMYG00000042583	ENSOMYT00000101035	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042585	ENSOMYT00000101040	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.92	0.00
ENSOMYG00000042586	ENSOMYT00000101044,ENSOMYT00000101049	0.50	0.00	0.23	0.35	0.87	0.34	0.14	0.00	0.21	0.36	0.22	0.41
ENSOMYG00000042588	ENSOMYT00000101048	0.07	0.06	0.16	0.00	0.05	0.00	0.00	0.00	0.09	0.00	0.05	0.11
ENSOMYG00000042589	ENSOMYT00000101056,ENSOMYT00000101123	58.20	43.76	33.74	23.44	25.16	26.84	42.75	59.96	36.63	49.52	38.84	21.82
ENSOMYG00000042590	ENSOMYT00000101039,ENSOMYT00000101058,ENSOMYT00000101067,ENSOMYT00000123400,ENSOMYT00000130866,ENSOMYT00000138977,ENSOMYT00000156889,ENSOMYT00000157987,ENSOMYT00000158963	0.12	0.92	0.69	0.77	0.40	0.18	0.00	0.07	0.03	0.01	0.03	0.02
ENSOMYG00000042592	ENSOMYT00000101061	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042593	ENSOMYT00000101417,ENSOMYT00000101510,ENSOMYT00000101547,ENSOMYT00000101609,ENSOMYT00000101835	58.54	49.44	43.48	34.60	32.58	40.38	39.10	44.18	37.28	46.37	46.46	43.84
ENSOMYG00000042595	ENSOMYT00000101071,ENSOMYT00000126608	4.88	10.38	4.34	6.68	10.73	5.23	4.05	2.46	10.94	9.51	6.02	8.22
ENSOMYG00000042596	ENSOMYT00000101142,ENSOMYT00000101164,ENSOMYT00000101178,ENSOMYT00000101196,ENSOMYT00000101203	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042597	ENSOMYT00000101072,ENSOMYT00000118489,ENSOMYT00000122026,ENSOMYT00000125623	0.10	0.00	0.00	0.00	0.00	0.00	0.23	0.06	0.00	0.00	0.69	0.08
ENSOMYG00000042598	ENSOMYT00000101080	1.18	0.45	1.56	0.33	0.26	0.33	0.29	0.17	0.33	0.10	0.16	0.05
ENSOMYG00000042599	ENSOMYT00000101094	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042603	ENSOMYT00000103757,ENSOMYT00000103897,ENSOMYT00000103944,ENSOMYT00000103963,ENSOMYT00000104018,ENSOMYT00000104035,ENSOMYT00000104092,ENSOMYT00000104110,ENSOMYT00000104136,ENSOMYT00000104168	57.81	30.01	22.45	13.60	13.26	20.02	9.38	11.42	11.42	7.97	11.11	19.72
ENSOMYG00000042604	ENSOMYT00000101095	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042605	ENSOMYT00000101116	0.10	0.00	0.08	0.00	0.07	0.03	0.04	0.00	0.03	0.00	0.00	0.00
ENSOMYG00000042606	ENSOMYT00000054020,ENSOMYT00000101107,ENSOMYT00000128236,ENSOMYT00000145796,ENSOMYT00000146776,ENSOMYT00000149809,ENSOMYT00000150750,ENSOMYT00000158946,ENSOMYT00000164472,ENSOMYT00000165975	11.96	7.36	4.38	3.89	3.98	4.99	3.29	1.89	2.26	2.43	2.95	5.99
ENSOMYG00000042607	ENSOMYT00000101111	15.34	17.71	14.09	12.92	15.66	14.48	7.17	6.97	11.31	5.75	6.03	13.46
ENSOMYG00000042609	ENSOMYT00000101115,ENSOMYT00000145869	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042610	ENSOMYT00000101158	4.38	2.54	1.60	1.02	2.00	0.91	0.58	1.12	2.12	0.81	0.60	2.21
ENSOMYG00000042611	ENSOMYT00000104269,ENSOMYT00000104289,ENSOMYT00000104474,ENSOMYT00000104513,ENSOMYT00000104532,ENSOMYT00000104552,ENSOMYT00000104706,ENSOMYT00000104712	24.59	20.33	9.55	8.48	9.82	8.88	7.52	5.44	7.48	8.79	10.98	9.64
ENSOMYG00000042612	ENSOMYT00000101428,ENSOMYT00000101491,ENSOMYT00000101495	21.32	20.06	17.94	19.65	20.09	16.65	16.50	16.67	18.08	13.86	12.65	24.38
ENSOMYG00000042614	ENSOMYT00000101153	0.00	0.46	0.22	0.00	0.28	0.19	0.00	0.00	0.19	0.00	0.00	0.23
ENSOMYG00000042615	ENSOMYT00000101141	37.49	51.01	34.01	50.52	41.46	45.41	35.06	43.53	42.15	43.58	49.10	43.85
ENSOMYG00000042616	ENSOMYT00000101128,ENSOMYT00000101147	4259.58	4009.56	4938.30	5136.00	4522.88	5251.97	4845.96	3980.59	4121.03	3774.89	5481.52	4696.06
ENSOMYG00000042617	ENSOMYT00000101127	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042618	ENSOMYT00000101140	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00
ENSOMYG00000042619	ENSOMYT00000101139	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042620	ENSOMYT00000101143	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042621	ENSOMYT00000101293,ENSOMYT00000101302,ENSOMYT00000101313,ENSOMYT00000101315,ENSOMYT00000132134,ENSOMYT00000161941,ENSOMYT00000165777	5.70	6.57	3.30	6.82	5.26	4.58	2.31	3.00	3.44	1.93	2.35	4.51
ENSOMYG00000042623	ENSOMYT00000167440	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000042625	ENSOMYT00000101155,ENSOMYT00000163694	0.17	0.00	0.07	0.06	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.29
ENSOMYG00000042627	ENSOMYT00000101166	0.10	0.00	0.00	0.00	0.00	0.13	0.14	0.00	0.07	0.00	0.00	0.00
ENSOMYG00000042629	ENSOMYT00000101215,ENSOMYT00000101223	21.75	18.70	16.88	23.78	10.97	18.80	11.28	12.80	16.23	5.73	6.70	8.68
ENSOMYG00000042631	ENSOMYT00000101177,ENSOMYT00000101181,ENSOMYT00000155354	27.23	19.17	25.28	24.75	18.26	34.10	20.87	25.58	24.25	21.81	25.38	20.99
