gene_id	transcript_id(s)	RainbowTrout_RNA_DistalIntestine_Immature_Female_R1	RainbowTrout_RNA_DistalIntestine_Immature_Female_R2	RainbowTrout_RNA_DistalIntestine_Immature_Female_R3	RainbowTrout_RNA_DistalIntestine_Immature_Male_R1	RainbowTrout_RNA_DistalIntestine_Immature_Male_R2	RainbowTrout_RNA_DistalIntestine_Immature_Male_R3	RainbowTrout_RNA_DistalIntestine_Mature_Female_R1	RainbowTrout_RNA_DistalIntestine_Mature_Female_R2	RainbowTrout_RNA_DistalIntestine_Mature_Female_R3	RainbowTrout_RNA_DistalIntestine_Mature_Male_R1	RainbowTrout_RNA_DistalIntestine_Mature_Male_R2	RainbowTrout_RNA_DistalIntestine_Mature_Male_R3
ENSOMYG00000000255	ENSOMYT00000000409	0.00	0.00	0.09	0.00	0.00	0.04	0.00	0.08	0.00	0.05	0.11	0.39
ENSOMYG00000000257	ENSOMYT00000000407	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000258	ENSOMYT00000000413,ENSOMYT00000000418,ENSOMYT00000121362,ENSOMYT00000132256,ENSOMYT00000149942	11.61	8.79	8.14	7.07	10.43	8.26	7.99	7.22	9.15	8.02	6.59	9.24
ENSOMYG00000000259	ENSOMYT00000000417,ENSOMYT00000000421,ENSOMYT00000000429,ENSOMYT00000000434,ENSOMYT00000000707,ENSOMYT00000131703,ENSOMYT00000142232,ENSOMYT00000145758,ENSOMYT00000157162,ENSOMYT00000163799	67.07	184.97	116.03	182.61	24.00	212.24	49.15	51.27	27.83	172.72	329.74	161.33
ENSOMYG00000000260	ENSOMYT00000000410	6.21	8.06	6.55	5.74	4.87	4.19	5.88	4.23	5.53	6.31	7.18	5.32
ENSOMYG00000000261	ENSOMYT00000000419	116.00	45.78	76.20	48.56	208.22	37.97	263.66	260.24	347.29	75.70	41.17	63.86
ENSOMYG00000000262	ENSOMYT00000000420,ENSOMYT00000000423,ENSOMYT00000123594	8.79	14.97	8.70	12.26	6.20	11.89	7.61	3.73	5.31	7.49	5.37	8.72
ENSOMYG00000000263	ENSOMYT00000000426,ENSOMYT00000000428	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000266	ENSOMYT00000000460,ENSOMYT00000000464,ENSOMYT00000000467,ENSOMYT00000039649	19.74	13.42	14.58	13.39	15.34	23.88	29.46	15.28	35.37	24.14	21.62	32.21
ENSOMYG00000000267	ENSOMYT00000000444,ENSOMYT00000000448,ENSOMYT00000000453,ENSOMYT00000000466,ENSOMYT00000000473,ENSOMYT00000000476	6.30	1.29	0.42	0.21	1.16	0.61	3.42	3.04	2.79	6.18	3.78	10.19
ENSOMYG00000000268	ENSOMYT00000000431	1.86	0.85	0.52	0.77	1.64	0.82	1.89	2.05	2.63	0.56	1.31	1.75
ENSOMYG00000000269	ENSOMYT00000000433	28.81	25.36	18.96	19.67	35.15	19.43	42.04	28.29	40.50	20.48	21.77	28.48
ENSOMYG00000000270	ENSOMYT00000000449,ENSOMYT00000000454,ENSOMYT00000000462,ENSOMYT00000000472,ENSOMYT00000000478	21.83	6.77	4.84	1.17	16.33	6.06	14.32	16.27	14.77	9.58	6.03	11.90
ENSOMYG00000000271	ENSOMYT00000000436	0.11	0.45	0.00	0.13	0.00	0.04	0.04	1.25	0.00	0.15	0.00	0.39
ENSOMYG00000000272	ENSOMYT00000000435	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000273	ENSOMYT00000000437,ENSOMYT00000135696	0.09	0.07	0.27	0.00	0.15	0.00	0.12	0.03	0.06	0.10	0.04	0.00
ENSOMYG00000000274	ENSOMYT00000000440	0.10	0.00	0.08	0.00	0.19	0.00	0.42	0.69	0.37	0.78	0.56	1.16
ENSOMYG00000000275	ENSOMYT00000000438	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000276	ENSOMYT00000000441	0.12	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.10	0.00	0.41
ENSOMYG00000000277	ENSOMYT00000000439	3.77	1.27	1.94	1.56	8.79	1.27	5.51	3.31	11.81	2.07	0.92	1.03
ENSOMYG00000000278	ENSOMYT00000000479	4.31	2.28	1.67	0.50	5.37	1.11	3.27	3.08	4.89	2.16	0.68	2.35
ENSOMYG00000000279	ENSOMYT00000000443	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000280	ENSOMYT00000000513,ENSOMYT00000000536,ENSOMYT00000000541,ENSOMYT00000164911	0.50	0.16	0.20	0.16	0.49	0.10	0.23	0.22	0.35	0.17	0.06	0.14
ENSOMYG00000000281	ENSOMYT00000000483,ENSOMYT00000000487,ENSOMYT00000000492,ENSOMYT00000000496,ENSOMYT00000014253,ENSOMYT00000014309,ENSOMYT00000131062	17.73	32.84	25.86	34.54	32.73	36.68	24.48	18.08	25.66	33.60	27.26	26.75
ENSOMYG00000000282	ENSOMYT00000000447	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000283	ENSOMYT00000000510,ENSOMYT00000000558,ENSOMYT00000000569,ENSOMYT00000000573,ENSOMYT00000000577,ENSOMYT00000000580,ENSOMYT00000119741	13.71	14.19	22.13	18.92	11.72	22.75	13.49	5.88	14.18	10.42	6.81	12.44
ENSOMYG00000000284	ENSOMYT00000000481,ENSOMYT00000000484,ENSOMYT00000000494,ENSOMYT00000000502,ENSOMYT00000000508,ENSOMYT00000000511,ENSOMYT00000000521,ENSOMYT00000000529	46.61	57.39	33.93	38.38	51.49	51.54	43.52	34.23	39.47	51.36	54.71	59.56
ENSOMYG00000000285	ENSOMYT00000000475,ENSOMYT00000000486,ENSOMYT00000000489,ENSOMYT00000000499,ENSOMYT00000032131,ENSOMYT00000033432,ENSOMYT00000163426	2.99	4.50	2.44	1.23	0.45	3.16	0.70	0.97	0.17	4.96	12.93	11.67
ENSOMYG00000000286	ENSOMYT00000000455,ENSOMYT00000000458	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000287	ENSOMYT00000000469	15.08	18.21	10.47	9.15	0.90	20.29	2.84	6.43	2.19	28.68	48.10	67.30
ENSOMYG00000000288	ENSOMYT00000000470,ENSOMYT00000152064,ENSOMYT00000166905	0.49	1.00	0.82	0.25	0.37	1.52	0.21	0.24	0.35	1.25	0.57	0.46
ENSOMYG00000000290	ENSOMYT00000000459	2.65	0.00	0.36	0.04	0.19	0.26	1.39	1.33	1.10	1.87	0.48	2.46
ENSOMYG00000000293	ENSOMYT00000000480	31.70	12.46	9.36	4.61	30.11	5.49	21.55	23.91	25.80	8.45	4.29	9.59
ENSOMYG00000000296	ENSOMYT00000000498	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000297	ENSOMYT00000000488	12.17	6.06	10.35	13.90	13.23	9.39	15.03	10.19	10.64	6.78	6.78	7.92
ENSOMYG00000000299	ENSOMYT00000000503,ENSOMYT00000000516,ENSOMYT00000000523	1.35	0.81	1.03	0.27	1.29	0.81	1.13	0.62	0.67	0.56	0.64	1.10
ENSOMYG00000000300	ENSOMYT00000000501	2.58	2.52	2.26	1.84	4.87	5.81	7.43	5.42	7.47	4.29	4.84	8.78
ENSOMYG00000000301	ENSOMYT00000000504	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000303	ENSOMYT00000000512,ENSOMYT00000000519	9.42	9.84	10.05	5.94	13.43	7.21	13.42	13.77	14.30	8.72	6.52	11.05
ENSOMYG00000000305	ENSOMYT00000000538,ENSOMYT00000119607,ENSOMYT00000130531,ENSOMYT00000134518,ENSOMYT00000135657,ENSOMYT00000144180,ENSOMYT00000146726	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000306	ENSOMYT00000000522,ENSOMYT00000000528,ENSOMYT00000000537,ENSOMYT00000000539,ENSOMYT00000000546,ENSOMYT00000000554	2.15	1.27	0.92	0.16	0.62	1.82	1.59	1.61	0.46	1.30	3.66	5.03
ENSOMYG00000000308	ENSOMYT00000000520	9.73	11.99	8.59	10.88	10.51	10.08	11.54	8.80	12.12	10.16	13.26	15.18
ENSOMYG00000000310	ENSOMYT00000000531,ENSOMYT00000000532,ENSOMYT00000000756,ENSOMYT00000145968	11.98	14.68	10.42	5.69	12.30	8.36	15.29	9.63	12.85	11.60	11.90	22.40
ENSOMYG00000000311	ENSOMYT00000000601,ENSOMYT00000000617,ENSOMYT00000000625,ENSOMYT00000000630,ENSOMYT00000000633,ENSOMYT00000123155,ENSOMYT00000132625,ENSOMYT00000135213,ENSOMYT00000142023,ENSOMYT00000164659	0.33	0.33	0.13	0.43	0.05	0.25	0.02	0.02	0.04	0.01	0.04	0.10
ENSOMYG00000000312	ENSOMYT00000000526,ENSOMYT00000000533	0.33	0.20	0.04	0.00	0.00	0.00	0.22	0.00	0.17	0.00	0.15	0.00
ENSOMYG00000000313	ENSOMYT00000000524	0.00	0.00	0.00	0.00	2.13	0.00	0.52	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000315	ENSOMYT00000000545	8.55	3.03	3.94	2.53	8.28	2.16	11.00	8.53	10.76	8.22	3.79	7.30
ENSOMYG00000000316	ENSOMYT00000000535	0.00	0.19	0.30	0.00	0.00	0.36	0.42	0.06	0.68	0.00	0.27	0.42
ENSOMYG00000000318	ENSOMYT00000000540	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000319	ENSOMYT00000000542	3.44	1.90	2.25	0.96	4.92	1.51	3.90	2.11	5.18	1.23	1.24	1.20
ENSOMYG00000000320	ENSOMYT00000000549,ENSOMYT00000133107,ENSOMYT00000136930	6.23	0.52	0.17	0.44	1.14	0.46	1.29	0.74	0.88	0.82	0.30	1.64
ENSOMYG00000000321	ENSOMYT00000000548	11.32	14.23	18.57	18.60	10.29	7.96	28.71	22.81	14.08	80.56	37.71	73.24
ENSOMYG00000000322	ENSOMYT00000000544	0.00	0.00	0.07	0.00	0.00	0.08	0.00	0.00	0.00	0.02	0.00	0.00
ENSOMYG00000000323	ENSOMYT00000000543,ENSOMYT00000126266,ENSOMYT00000129145,ENSOMYT00000157722	4.31	1.38	0.66	0.15	5.23	1.31	3.07	2.73	3.39	2.19	0.71	0.95
ENSOMYG00000000326	ENSOMYT00000000555,ENSOMYT00000000581,ENSOMYT00000000609,ENSOMYT00000000627	6.43	4.30	3.62	3.40	5.26	1.30	2.51	2.37	3.60	0.66	0.23	0.81
ENSOMYG00000000327	ENSOMYT00000000557	7.66	0.99	1.69	1.37	2.99	1.68	4.69	4.49	5.18	3.56	2.96	5.57
ENSOMYG00000000329	ENSOMYT00000000553	4.31	4.71	4.56	4.31	4.08	5.17	3.42	2.44	4.40	4.44	5.86	5.31
ENSOMYG00000000331	ENSOMYT00000000457,ENSOMYT00000000568,ENSOMYT00000000649,ENSOMYT00000000701,ENSOMYT00000127696,ENSOMYT00000133288	149.08	957.87	292.25	787.97	113.66	946.78	165.73	229.54	89.13	821.93	1087.33	841.89
ENSOMYG00000000332	ENSOMYT00000000560	1.22	0.44	0.36	0.10	0.56	0.34	0.29	0.48	0.21	0.27	0.06	0.22
ENSOMYG00000000334	ENSOMYT00000000563	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000337	ENSOMYT00000000567	0.00	0.25	0.21	0.04	1.21	0.17	0.50	0.33	0.22	0.16	0.00	0.13
ENSOMYG00000000338	ENSOMYT00000000572,ENSOMYT00000144687	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00
ENSOMYG00000000339	ENSOMYT00000000593	36.30	59.37	55.21	55.31	26.22	74.31	38.00	29.10	34.47	41.63	38.94	33.60
ENSOMYG00000000340	ENSOMYT00000000571	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000342	ENSOMYT00000000574,ENSOMYT00000000582,ENSOMYT00000127596	22.89	24.00	22.29	16.35	20.16	16.69	18.19	13.64	18.59	17.80	23.58	31.32
ENSOMYG00000000343	ENSOMYT00000000655,ENSOMYT00000000658,ENSOMYT00000000672,ENSOMYT00000000685,ENSOMYT00000000694,ENSOMYT00000000704	10.80	4.15	4.71	2.80	7.50	3.23	5.60	5.50	7.79	6.08	3.78	6.82
ENSOMYG00000000344	ENSOMYT00000000723,ENSOMYT00000000729,ENSOMYT00000000736	8.78	6.61	2.92	1.96	4.68	3.44	3.36	4.60	3.62	6.26	5.01	14.98
ENSOMYG00000000349	ENSOMYT00000000585	1.04	0.12	0.00	0.05	0.46	0.08	0.11	0.48	0.19	0.06	0.00	0.34
ENSOMYG00000000350	ENSOMYT00000000597,ENSOMYT00000000599	2.00	0.80	0.42	1.05	1.98	0.42	2.59	1.79	2.95	1.26	0.44	0.53
ENSOMYG00000000352	ENSOMYT00000000587,ENSOMYT00000124987	0.25	0.00	0.18	0.07	0.49	0.00	0.27	0.29	0.10	0.24	0.00	0.12
ENSOMYG00000000353	ENSOMYT00000000588	0.00	0.00	0.00	1.95	5.29	1.34	1.94	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000356	ENSOMYT00000000591,ENSOMYT00000135263	3.39	2.72	1.81	1.42	4.01	1.92	2.54	2.02	3.10	2.30	3.05	3.77
ENSOMYG00000000357	ENSOMYT00000000595,ENSOMYT00000000611,ENSOMYT00000000614,ENSOMYT00000000619,ENSOMYT00000150112	10.09	9.21	8.47	8.25	12.49	8.30	9.84	5.70	5.51	16.70	11.20	13.09
ENSOMYG00000000358	ENSOMYT00000000592	0.05	0.00	0.00	0.04	0.00	0.00	0.08	0.07	0.04	0.00	0.00	0.06
ENSOMYG00000000360	ENSOMYT00000000610	3.90	2.93	2.83	3.07	2.00	5.44	5.13	3.07	3.89	5.38	5.96	3.09
ENSOMYG00000000361	ENSOMYT00000000605	0.00	1.34	0.00	1.42	0.00	6.18	0.00	16.78	2.93	15.60	41.80	150.73
ENSOMYG00000000362	ENSOMYT00000000634	34.63	29.83	22.33	12.66	26.00	14.19	46.49	35.57	26.61	41.67	20.95	63.92
ENSOMYG00000000366	ENSOMYT00000000618	0.19	0.00	0.00	0.00	0.00	0.04	0.00	0.03	0.08	0.12	0.05	0.06
ENSOMYG00000000367	ENSOMYT00000000621,ENSOMYT00000000626,ENSOMYT00000121068,ENSOMYT00000131952	0.48	0.22	0.50	0.53	0.73	0.60	0.59	0.00	0.45	0.24	0.17	0.00
ENSOMYG00000000368	ENSOMYT00000000624	0.40	0.00	0.06	0.12	1.72	0.30	0.54	1.04	1.37	0.41	0.00	0.18
ENSOMYG00000000369	ENSOMYT00000000628	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000370	ENSOMYT00000000676	10.15	4.52	8.87	7.14	16.95	12.33	9.39	7.57	7.28	2.47	5.39	5.13
ENSOMYG00000000372	ENSOMYT00000000631	4.25	2.46	3.22	4.08	1.92	3.48	2.26	1.93	3.83	3.49	1.52	4.16
ENSOMYG00000000375	ENSOMYT00000000656,ENSOMYT00000127971,ENSOMYT00000137076,ENSOMYT00000150212	301.55	1689.70	543.48	1523.36	185.18	1984.18	259.70	291.65	128.74	691.53	1215.19	1092.82
ENSOMYG00000000376	ENSOMYT00000000640,ENSOMYT00000000683,ENSOMYT00000073597	0.18	0.00	0.00	0.00	2.39	0.41	0.08	0.00	0.21	0.00	0.00	0.21
ENSOMYG00000000377	ENSOMYT00000000644	0.34	0.17	0.15	0.06	0.11	0.17	0.44	0.16	0.09	0.03	0.07	0.04
ENSOMYG00000000378	ENSOMYT00000000641,ENSOMYT00000146741,ENSOMYT00000152844	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000379	ENSOMYT00000000733,ENSOMYT00000000750,ENSOMYT00000000789,ENSOMYT00000000818,ENSOMYT00000000826,ENSOMYT00000000828,ENSOMYT00000000833,ENSOMYT00000122074	8.18	8.46	6.48	3.78	7.36	6.56	6.32	5.36	7.65	9.05	7.43	13.76
ENSOMYG00000000381	ENSOMYT00000000659,ENSOMYT00000000664,ENSOMYT00000000668,ENSOMYT00000000673,ENSOMYT00000024457,ENSOMYT00000024466,ENSOMYT00000024506,ENSOMYT00000024564,ENSOMYT00000024581,ENSOMYT00000024633	0.13	0.00	0.02	0.03	0.02	0.00	0.00	0.03	0.07	0.00	0.00	0.07
ENSOMYG00000000382	ENSOMYT00000000646	59.23	15.98	23.91	18.75	59.66	17.55	34.49	43.30	44.20	14.26	11.59	22.11
ENSOMYG00000000383	ENSOMYT00000000651,ENSOMYT00000000654	3.77	4.93	4.75	2.65	4.38	4.37	4.00	3.89	4.42	3.62	3.26	5.74
ENSOMYG00000000384	ENSOMYT00000000648	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.04	0.00	0.07	0.00	0.10
ENSOMYG00000000385	ENSOMYT00000000653,ENSOMYT00000000661	25.53	46.27	26.03	26.71	14.83	17.82	14.76	13.23	11.97	19.85	29.72	36.03
ENSOMYG00000000386	ENSOMYT00000000671,ENSOMYT00000000675,ENSOMYT00000000681,ENSOMYT00000137199	2.56	1.08	0.23	0.43	1.93	0.56	1.67	2.51	6.56	0.44	0.30	1.35
ENSOMYG00000000387	ENSOMYT00000000660,ENSOMYT00000166958	64.56	159.79	149.54	162.61	25.61	162.27	68.01	34.98	38.34	148.48	214.68	215.21
ENSOMYG00000000388	ENSOMYT00000000670,ENSOMYT00000000674	209.42	321.18	99.74	177.42	101.73	262.15	137.05	171.97	142.22	187.21	211.32	312.64
ENSOMYG00000000389	ENSOMYT00000000703,ENSOMYT00000000706,ENSOMYT00000000710,ENSOMYT00000000712,ENSOMYT00000000717,ENSOMYT00000019692	2.68	1.93	0.15	0.30	0.53	0.77	1.35	1.31	1.01	1.37	1.86	2.34
ENSOMYG00000000390	ENSOMYT00000000688,ENSOMYT00000000731,ENSOMYT00000000735,ENSOMYT00000000739,ENSOMYT00000041633,ENSOMYT00000125191,ENSOMYT00000128962,ENSOMYT00000129757	29.06	47.68	52.63	49.19	29.44	46.37	28.10	22.71	29.97	35.94	24.28	24.24
ENSOMYG00000000391	ENSOMYT00000000515,ENSOMYT00000000689,ENSOMYT00000000690,ENSOMYT00000000698,ENSOMYT00000135621,ENSOMYT00000141605	7.48	2.16	2.72	1.46	7.77	2.22	9.47	7.10	10.34	2.99	2.09	3.26
ENSOMYG00000000392	ENSOMYT00000000682	0.13	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.06	0.00	0.00
ENSOMYG00000000394	ENSOMYT00000000686,ENSOMYT00000000691	15.50	11.45	7.60	6.59	13.95	5.86	11.77	10.05	15.20	8.26	5.57	14.12
ENSOMYG00000000395	ENSOMYT00000000693	34.68	47.02	33.92	39.48	35.61	49.93	46.92	43.48	48.37	48.52	53.89	49.19
ENSOMYG00000000398	ENSOMYT00000000697	4.76	0.87	0.35	0.51	1.28	0.66	2.03	1.58	2.76	1.28	1.50	4.09
ENSOMYG00000000399	ENSOMYT00000000700	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000400	ENSOMYT00000000708	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000401	ENSOMYT00000116927,ENSOMYT00000121261,ENSOMYT00000130423,ENSOMYT00000137287,ENSOMYT00000142505,ENSOMYT00000160849,ENSOMYT00000161295,ENSOMYT00000163160,ENSOMYT00000163518,ENSOMYT00000164364	9.62	34.73	18.56	34.81	4.38	63.32	14.74	13.92	9.93	52.62	82.40	43.24
ENSOMYG00000000403	ENSOMYT00000000713,ENSOMYT00000000714,ENSOMYT00000000716	0.14	0.08	0.00	0.04	0.35	0.19	0.08	0.10	0.13	0.35	0.32	0.18
ENSOMYG00000000404	ENSOMYT00000000758,ENSOMYT00000000801,ENSOMYT00000000805,ENSOMYT00000000812,ENSOMYT00000000816,ENSOMYT00000000821,ENSOMYT00000000825,ENSOMYT00000108601	19.52	29.27	12.95	11.44	3.30	28.44	3.44	6.28	3.82	38.56	45.63	59.19
ENSOMYG00000000405	ENSOMYT00000000715,ENSOMYT00000125351,ENSOMYT00000130363,ENSOMYT00000134519	33.36	56.01	29.25	36.20	37.35	48.59	42.76	34.96	39.62	44.15	46.37	49.07
ENSOMYG00000000406	ENSOMYT00000000711	3.40	3.45	3.58	2.10	4.86	2.42	4.06	3.14	4.58	3.32	2.47	4.14
ENSOMYG00000000407	ENSOMYT00000000728,ENSOMYT00000000732,ENSOMYT00000000734,ENSOMYT00000119934	6.51	9.10	8.00	9.15	9.15	10.20	7.78	5.41	11.28	6.35	6.26	9.75
ENSOMYG00000000408	ENSOMYT00000000720	80.27	103.19	115.62	122.69	40.33	117.19	20.33	49.05	0.00	28.96	8.00	59.25
ENSOMYG00000000410	ENSOMYT00000000719	2.27	1.45	1.29	0.72	2.07	1.25	1.06	1.20	1.71	0.59	0.99	2.04
ENSOMYG00000000411	ENSOMYT00000000724	8.40	7.70	8.19	6.40	7.21	7.37	11.01	11.22	12.47	8.28	8.61	9.43
ENSOMYG00000000412	ENSOMYT00000000722	4.77	4.97	0.00	0.00	0.00	1.04	2.70	2.50	0.96	0.84	0.00	1.18
ENSOMYG00000000413	ENSOMYT00000000725,ENSOMYT00000070152,ENSOMYT00000117604,ENSOMYT00000142559	35.51	57.20	58.33	82.06	35.54	75.69	33.11	24.53	39.86	48.76	34.16	33.30
ENSOMYG00000000414	ENSOMYT00000000737,ENSOMYT00000000738	5.46	5.30	3.23	2.12	3.31	4.50	3.10	3.90	5.12	4.25	5.14	8.43
ENSOMYG00000000417	ENSOMYT00000000740	0.67	0.00	0.00	0.00	0.78	0.00	0.00	1.05	0.61	0.00	0.00	0.00
ENSOMYG00000000419	ENSOMYT00000000744	0.13	0.00	0.00	0.29	0.51	0.29	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000420	ENSOMYT00000000747,ENSOMYT00000127802,ENSOMYT00000151379	117.30	182.57	113.68	151.10	145.81	159.58	169.63	134.92	170.79	173.04	183.09	193.45
ENSOMYG00000000422	ENSOMYT00000000746	5.24	1.03	0.00	0.52	2.20	1.01	2.08	3.89	2.81	1.73	1.63	2.92
ENSOMYG00000000423	ENSOMYT00000000748	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000424	ENSOMYT00000000752	0.00	0.00	0.22	0.05	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000425	ENSOMYT00000000751	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000426	ENSOMYT00000000527,ENSOMYT00000000754,ENSOMYT00000061823,ENSOMYT00000150626	11.03	8.81	8.27	4.36	10.72	11.39	12.86	8.55	13.44	10.81	12.49	13.44
ENSOMYG00000000427	ENSOMYT00000000757,ENSOMYT00000000759,ENSOMYT00000000760,ENSOMYT00000138579,ENSOMYT00000157351	3.73	4.90	3.37	3.63	2.80	6.61	1.80	1.40	3.83	2.57	2.36	1.93
ENSOMYG00000000428	ENSOMYT00000000910,ENSOMYT00000000927,ENSOMYT00000000930,ENSOMYT00000000934,ENSOMYT00000000940,ENSOMYT00000000951,ENSOMYT00000000965,ENSOMYT00000000968,ENSOMYT00000107532,ENSOMYT00000129746	5.88	2.01	3.16	2.45	9.93	3.16	15.30	12.12	14.64	5.08	6.10	4.32
ENSOMYG00000000429	ENSOMYT00000000755	0.08	0.07	0.00	0.00	0.00	0.02	0.00	0.01	0.00	0.02	0.00	0.05
ENSOMYG00000000430	ENSOMYT00000000881,ENSOMYT00000000889,ENSOMYT00000000911,ENSOMYT00000000926,ENSOMYT00000000932,ENSOMYT00000000936,ENSOMYT00000000938,ENSOMYT00000000943,ENSOMYT00000118452,ENSOMYT00000126086	13.04	33.65	18.02	20.99	5.10	24.82	7.94	8.06	6.46	18.06	26.02	37.48
ENSOMYG00000000431	ENSOMYT00000000762	0.00	0.00	0.00	0.00	0.53	0.00	0.00	0.36	0.00	0.00	0.00	0.00
ENSOMYG00000000432	ENSOMYT00000000765,ENSOMYT00000000768	14.48	13.26	11.47	13.26	20.15	8.15	13.81	18.91	23.49	3.40	1.76	5.14
ENSOMYG00000000433	ENSOMYT00000000769,ENSOMYT00000000792	6.87	7.38	4.06	7.73	6.62	6.86	9.43	6.47	9.39	9.58	6.51	10.74
ENSOMYG00000000435	ENSOMYT00000000770,ENSOMYT00000000774,ENSOMYT00000000780,ENSOMYT00000000781	5.03	1.01	0.66	0.44	0.58	0.40	1.04	1.65	1.07	1.99	1.43	3.94
ENSOMYG00000000436	ENSOMYT00000000776,ENSOMYT00000000811,ENSOMYT00000000834,ENSOMYT00000000844,ENSOMYT00000000849,ENSOMYT00000000852,ENSOMYT00000000859	10.41	11.58	6.37	11.10	9.70	10.38	4.39	5.14	4.84	4.50	6.48	3.77
ENSOMYG00000000439	ENSOMYT00000000775,ENSOMYT00000000782,ENSOMYT00000000784,ENSOMYT00000000788	23.55	39.32	28.94	52.81	4.29	72.23	13.48	5.91	7.30	25.02	43.72	39.23
ENSOMYG00000000440	ENSOMYT00000000819,ENSOMYT00000000832,ENSOMYT00000000836	4.63	1.55	0.79	0.27	1.05	0.74	2.61	2.15	2.14	3.54	3.26	9.94
ENSOMYG00000000441	ENSOMYT00000000877,ENSOMYT00000000890,ENSOMYT00000000894,ENSOMYT00000000929,ENSOMYT00000000937,ENSOMYT00000000952,ENSOMYT00000000966,ENSOMYT00000000976,ENSOMYT00000000979,ENSOMYT00000080111	1.71	1.50	2.23	1.31	2.08	0.71	1.90	0.76	1.45	0.93	0.66	0.39
ENSOMYG00000000442	ENSOMYT00000000829	2.10	0.27	0.24	0.28	0.25	0.37	0.26	0.86	0.53	0.51	0.93	5.51
ENSOMYG00000000443	ENSOMYT00000000773	4.40	6.19	6.49	5.49	7.05	5.66	5.85	4.78	6.79	5.99	3.12	5.86
ENSOMYG00000000444	ENSOMYT00000000772	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000445	ENSOMYT00000000778	0.57	2.04	1.63	0.85	0.47	1.40	0.49	0.17	0.33	2.28	1.63	1.68
ENSOMYG00000000447	ENSOMYT00000000779	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10
ENSOMYG00000000450	ENSOMYT00000000785	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000451	ENSOMYT00000000793,ENSOMYT00000000809,ENSOMYT00000149210,ENSOMYT00000159175	5.01	2.10	2.49	1.52	1.92	1.91	4.30	1.86	2.17	4.09	0.66	2.62
ENSOMYG00000000453	ENSOMYT00000000850,ENSOMYT00000000873,ENSOMYT00000000885,ENSOMYT00000000891,ENSOMYT00000000895	6.49	1.85	1.10	0.74	2.26	0.90	3.36	3.39	2.11	3.73	3.31	7.44
ENSOMYG00000000454	ENSOMYT00000000790	0.00	0.08	0.08	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00
